ID,Category,Requirement,Priority,Verification
R001,Scope,초급+중급만 구현,MUST,증거 파일 또는 실제 테스트 로그 필요
R002,Purpose,취업용이 아닌 미래 기술 Power User 훈련,MUST,증거 파일 또는 실제 테스트 로그 필요
R003,Learning,암기+읽기+수정+직접작성+디버깅+AI협업,MUST,증거 파일 또는 실제 테스트 로그 필요
R004,Learning,간격 반복 암기,MUST,증거 파일 또는 실제 테스트 로그 필요
R005,Learning,개인 오류 노트,MUST,증거 파일 또는 실제 테스트 로그 필요
R006,Learning,설명하기 훈련,MUST,증거 파일 또는 실제 테스트 로그 필요
R007,Learning,AI 오답 판별 훈련,MUST,증거 파일 또는 실제 테스트 로그 필요
R008,Practice,Python 실제 실행,MUST,증거 파일 또는 실제 테스트 로그 필요
R009,Practice,HTML/CSS/JS 실제 미리보기,MUST,증거 파일 또는 실제 테스트 로그 필요
R010,Practice,SQL 실제 실행,MUST,증거 파일 또는 실제 테스트 로그 필요
R011,Practice,TypeScript 실습,MUST,증거 파일 또는 실제 테스트 로그 필요
R012,Practice,자동채점,MUST,증거 파일 또는 실제 테스트 로그 필요
R013,Practice,3단계 힌트,MUST,증거 파일 또는 실제 테스트 로그 필요
R014,AI,혼자/힌트/AI협업 3모드,MUST,증거 파일 또는 실제 테스트 로그 필요
R015,AI,초급 AI 대신작성 제한,MUST,증거 파일 또는 실제 테스트 로그 필요
R016,AI,중급 AI 협업 해금,MUST,증거 파일 또는 실제 테스트 로그 필요
R017,Project,초급 최종 프로젝트,MUST,증거 파일 또는 실제 테스트 로그 필요
R018,Project,중급 최종 프로젝트,MUST,증거 파일 또는 실제 테스트 로그 필요
R019,Project,실전 제작 모드,MUST,증거 파일 또는 실제 테스트 로그 필요
R020,UI,고급스럽고 전문적이고 차분한 UI,MUST,증거 파일 또는 실제 테스트 로그 필요
R021,UI,명확한 섹션 구분,MUST,증거 파일 또는 실제 테스트 로그 필요
R022,UI,360px급 작은 화면 가로넘침 최소화,MUST,증거 파일 또는 실제 테스트 로그 필요
R023,UI,다크/라이트 가독성,SHOULD,검토 기록 필요
R024,Accessibility,충분한 글자와 터치영역,MUST,증거 파일 또는 실제 테스트 로그 필요
R025,Data,진도 저장,MUST,증거 파일 또는 실제 테스트 로그 필요
R026,Data,복습 일정 저장,MUST,증거 파일 또는 실제 테스트 로그 필요
R027,Data,오류노트 저장,MUST,증거 파일 또는 실제 테스트 로그 필요
R028,Resilience,앱 재실행 후 상태 유지,MUST,증거 파일 또는 실제 테스트 로그 필요
R029,Resilience,인터넷 없음 처리,MUST,증거 파일 또는 실제 테스트 로그 필요
R030,Resilience,AI/API 실패 처리,MUST,증거 파일 또는 실제 테스트 로그 필요
R031,Security,코드 실행 샌드박스: 앱 DB/Key/private 파일 격리·네트워크 기본차단·실행 제한,MUST,escape test(API Key/앱 DB/임의 파일/임의 네트워크)+타임아웃 실제 로그 필요
R032,Security,API Key 하드코딩·평문 저장 금지,MUST,바이너리/로그/평문 저장 부재 및 Keystore 보호 저장 또는 세션 전용 보관 증거 필요
R033,Security,민감정보 로그 금지,MUST,증거 파일 또는 실제 테스트 로그 필요
R034,Architecture,전체 원격 WebView 래퍼 금지,MUST,증거 파일 또는 실제 테스트 로그 필요
R035,Architecture,모듈/용량 최적화 검토,SHOULD,검토 기록 필요
R036,Testing,Unit/UI/통합 테스트,MUST,기존 테스트 + AT-036-X01~X60 및 AT-036-C01~C25 전 항목 결과/증거 필요
R037,Evidence,실제 테스트 로그,MUST,증거 파일 또는 실제 테스트 로그 필요
R038,Evidence,APK SHA-256,MUST,최종 검증 APK SHA-256과 동일 APK 설치/실행 증거 체인 필요
R039,Evidence,실제 실행 스크린샷,MUST,증거 파일 또는 실제 테스트 로그 필요
R040,Evidence,미완료 숨김 금지,MUST,증거 파일 또는 실제 테스트 로그 필요
R041,Delivery,APK,MUST,증거 파일 또는 실제 테스트 로그 필요
R042,Delivery,전체 소스 ZIP,MUST,증거 파일 또는 실제 테스트 로그 필요
R043,Delivery,README/BUILD/TEST,MUST,증거 파일 또는 실제 테스트 로그 필요
R044,Delivery,HANDOFF,MUST,증거 파일 또는 실제 테스트 로그 필요
R045,Truthfulness,읽지 않은 것/안 한 것 완료 주장 금지,MUST,SPEC_CLEAN_PASS와 앱 COMPLETE를 분리 보고하고 미실행을 완료 주장하지 않는 증거 필요
